000010011.wav;7.0;10.0;10.0;7.6;10.0,10.0,10.0,3.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,4.4;4
000010011.wav;9.0;9.0;9.0;9.0;10.0,8.0,10.0,7.0;10.0,10.0,10.0,10.0;10.0,8.4,10.0,7.6;4
000010011.wav;8.0;8.0;7.0;7.9;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010011.wav;8.0;8.0;8.0;8.0;10.0,10.0,10.0,2.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,3.6;4
000010011.wav;9.0;10.0;9.0;9.1;10.0,8.0,10.0,6.0;10.0,10.0,10.0,10.0;10.0,8.4,10.0,6.8;4
000010035.wav;7.0;10.0;10.0;7.6;10.0,8.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,8.4,10.0,10.0;4
000010035.wav;9.0;9.0;9.0;9.0;5.0,8.0,10.0,10.0;10.0,10.0,10.0,10.0;6.0,8.4,10.0,10.0;4
000010035.wav;7.0;8.0;8.0;7.2;8.0,10.0,8.0,10.0;5.0,10.0,10.0,10.0;7.4,10.0,8.4,10.0;4
000010035.wav;8.0;8.0;8.0;8.0;10.0,2.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,3.6,10.0,10.0;4
000010035.wav;9.0;10.0;9.0;9.1;6.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;6.8,10.0,10.0,10.0;4
000010053.wav;7.0;10.0;10.0;7.6;8.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;8.4,10.0,10.0,10.0;4
000010053.wav;10.0;10.0;10.0;10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010053.wav;9.0;9.0;8.0;8.9;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010053.wav;9.0;9.0;9.0;9.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010053.wav;9.0;10.0;10.0;9.2;10.0,8.0,8.0,10.0;10.0,10.0,10.0,10.0;10.0,8.4,8.4,10.0;4
000010063.wav;10.0;10.0;10.0;10.0;10.0,10.0,10.0;10.0,10.0,10.0;10.0,10.0,10.0;3
000010063.wav;10.0;9.0;9.0;9.8;10.0,10.0,10.0;10.0,10.0,10.0;10.0,10.0,10.0;3
000010063.wav;9.0;9.0;8.0;8.9;10.0,10.0,10.0;10.0,10.0,10.0;10.0,10.0,10.0;3
000010063.wav;8.0;9.0;9.0;8.2;10.0,10.0,10.0;10.0,5.0,10.0;10.0,9.0,10.0;3
000010063.wav;10.0;10.0;9.0;9.9;8.0,10.0,10.0;10.0,10.0,10.0;8.4,10.0,10.0;3
000010069.wav;9.0;10.0;10.0;9.2;10.0,10.0,10.0,10.0;10.0,5.0,10.0,10.0;10.0,9.0,10.0,10.0;4
000010069.wav;10.0;9.0;8.0;9.7;10.0,8.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,8.4,10.0,10.0;4
000010069.wav;8.0;8.0;8.0;8.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010069.wav;9.0;9.0;10.0;9.1;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010069.wav;10.0;10.0;10.0;10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010075.wav;8.0;10.0;10.0;8.4;10.0,10.0,10.0;10.0,10.0,10.0;10.0,10.0,10.0;3
000010075.wav;10.0;9.0;9.0;9.8;10.0,10.0,10.0;10.0,10.0,10.0;10.0,10.0,10.0;3
000010075.wav;9.0;9.0;8.0;8.9;10.0,10.0,10.0;10.0,10.0,10.0;10.0,10.0,10.0;3
000010075.wav;9.0;9.0;9.0;9.0;10.0,10.0,10.0;10.0,10.0,10.0;10.0,10.0,10.0;3
000010075.wav;10.0;10.0;10.0;10.0;8.0,10.0,10.0;10.0,10.0,10.0;8.4,10.0,10.0;3
000010089.wav;10.0;10.0;10.0;10.0;10.0,10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0,10.0;5
000010089.wav;9.0;9.0;9.0;9.0;10.0,10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0,10.0;5
000010089.wav;7.0;8.0;8.0;6.08;10.0,10.0,10.0,10.0,0.0;10.0,10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0,2.0;5
000010089.wav;10.0;9.0;9.0;9.8;10.0,10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0,10.0;5
000010089.wav;10.0;10.0;8.0;9.8;10.0,10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0,10.0;5
000010095.wav;10.0;10.0;10.0;10.0;10.0,10.0,8.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,8.4,10.0;4
000010095.wav;10.0;9.0;9.0;9.8;10.0,10.0,7.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,7.6,10.0;4
000010095.wav;6.0;8.0;8.0;6.4;10.0,10.0,10.0,8.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,8.4;4
000010095.wav;9.0;9.0;9.0;9.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010095.wav;10.0;10.0;9.0;9.9;10.0,10.0,8.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,8.4,10.0;4
000010106.wav;9.0;9.0;8.0;8.9;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010106.wav;9.0;9.0;9.0;9.0;8.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;8.4,10.0,10.0,10.0;4
000010106.wav;9.0;9.0;8.0;8.9;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010106.wav;9.0;8.0;8.0;8.8;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010106.wav;10.0;10.0;10.0;10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;10.0,10.0,10.0,10.0;4
000010113.wav;7.0;9.0;10.0;7.5;10.0,8.0,10.0,10.0,3.0,10.0;10.0,10.0,10.0,10.0,10.0,10.0;10.0,8.4,10.0,10.0,4.4,10.0;6
